iter	Passed	Remaining
692	7820	3464
693	7830	3452
694	7840	3440
695	7852	3429
696	7862	3417
697	7872	3406
698	7883	3394
699	7892	3382
700	7904	3371
701	7915	3360
702	7924	3347
703	7937	3337
704	7949	3326
705	7958	3314
706	7971	3303
707	7983	3292
708	7992	3280
709	8004	3269
710	8015	3258
711	8024	3245
712	8036	3234
713	8046	3223
714	8055	3211
715	8067	3200
716	8077	3188
717	8088	3176
718	8101	3166
719	8112	3154
720	8121	3142
721	8137	3133
722	8151	3122
723	8172	3115
724	8186	3105
725	8200	3094
726	8210	3083
727	8220	3071
728	8233	3060
729	8244	3049
730	8253	3037
731	8266	3026
732	8277	3015
733	8286	3003
734	8297	2991
735	8308	2980
736	8321	2969
737	8335	2959
738	8349	2948
739	8359	2937
740	8370	2925
741	8382	2914
742	8393	2903
743	8403	2891
744	8414	2880
745	8424	2868
746	8434	2856
747	8446	2845
748	8455	2833
749	8467	2822
750	8478	2811
751	8487	2799
752	8499	2787
753	8509	2776
754	8519	2764
755	8532	2753
756	8542	2742
757	8552	2730
758	8564	2719
759	8575	2707
760	8584	2696
761	8595	2684
762	8604	2672
763	8615	2661
764	8625	2649
765	8635	2638
766	8647	2626
767	8658	2615
768	8667	2603
769	8685	2594
770	8697	2583
771	8707	2571
772	8717	2560
773	8730	2549
774	8740	2537
775	8751	2526
776	8761	2514
777	8771	2502
778	8782	2491
779	8793	2480
780	8802	2468
781	8814	2457
782	8824	2445
783	8834	2433
784	8845	2422
785	8855	2411
786	8865	2399
787	8876	2388
788	8885	2376
789	8895	2364
790	8905	2353
791	8915	2341
792	8927	2330
793	8938	2318
794	8950	2307
795	8962	2296
796	8972	2285
797	8983	2273
798	8994	2262
799	9003	2250
800	9013	2239
801	9024	2228
802	9034	2216
803	9044	2204
804	9055	2193
805	9065	2181
806	9076	2170
807	9086	2159
808	9096	2147
809	9107	2136
810	9116	2124
811	9127	2113
812	9138	2102
813	9148	2090
814	9159	2079
815	9169	2067
816	9178	2055
817	9190	2044
818	9200	2033
819	9210	2021
820	9222	2010
821	9231	1998
822	9244	1988
823	9255	1976
824	9264	1965
825	9275	1953
826	9286	1942
827	9296	1931
828	9307	1919
829	9318	1908
830	9327	1896
831	9340	1886
832	9350	1874
833	9359	1863
834	9372	1852
835	9383	1840
836	9393	1829
837	9405	1818
838	9416	1807
839	9425	1795
840	9438	1784
841	9448	1773
842	9458	1761
843	9470	1750
844	9481	1739
845	9490	1727
846	9502	1716
847	9512	1704
848	9523	1693
849	9538	1683
850	9554	1672
851	9566	1661
852	9577	1650
853	9587	1639
854	9599	1627
855	9608	1616
856	9620	1605
857	9632	1594
858	9641	1582
859	9653	1571
860	9665	1560
861	9673	1548
862	9685	1537
863	9695	1526
864	9704	1514
865	9716	1503
866	9725	1491
867	9736	1480
868	9747	1469
869	9757	1457
870	9769	1446
871	9780	1435
872	9789	1424
873	9801	1413
874	9811	1401
875	9820	1390
876	9832	1379
877	9842	1367
878	9853	1356
879	9866	1345
880	9876	1334
881	9886	1322
882	9899	1311
883	9909	1300
884	9919	1289
885	9932	1277
886	9942	1266
887	9952	1255
888	9965	1244
889	9975	1232
890	9985	1221
891	9999	1210
892	10010	1199
893	10019	1187
894	10033	1177
895	10045	1166
896	10054	1154
897	10066	1143
898	10076	1132
899	10085	1120
900	10097	1109
901	10108	1098
902	10119	1086
903	10133	1076
904	10145	1065
905	10155	1053
906	10167	1042
907	10179	1031
908	10188	1019
909	10199	1008
910	10211	997
911	10222	986
912	10232	975
913	10244	963
914	10253	952
915	10263	941
916	10273	929
917	10282	918
918	10294	907
919	10304	896
920	10315	884
921	10326	873
922	10336	862
923	10346	850
924	10356	839
925	10365	828
926	10378	817
927	10387	805
928	10398	794
929	10410	783
930	10420	772
931	10430	761
932	10441	749
933	10450	738
934	10463	727
935	10475	716
936	10484	704
937	10497	693
938	10509	682
939	10518	671
940	10529	660
941	10539	648
942	10549	637
943	10558	626
944	10567	615
945	10578	603
946	10589	592
947	10599	581
948	10611	570
949	10623	559
950	10632	547
951	10643	536
952	10653	525
953	10661	514
954	10673	502
955	10684	491
956	10694	480
957	10705	469
958	10715	458
959	10726	446
960	10736	435
961	10745	424
962	10756	413
963	10765	402
964	10777	390
965	10790	379
966	10801	368
967	10811	357
968	10822	346
969	10832	335
970	10843	323
971	10853	312
972	10862	301
973	10874	290
974	10885	279
975	10895	267
976	10907	256
977	10918	245
978	10928	234
979	10939	223
980	10949	212
981	10960	200
982	10974	189
983	10986	178
984	10995	167
985	11006	156
986	11017	145
987	11026	133
988	11037	122
989	11046	111
990	11056	100
991	11068	89
992	11078	78
993	11089	66
994	11100	55
995	11109	44
996	11120	33
997	11131	22
998	11140	11
999	11151	0
