iter	Passed	Remaining
580	11418	8234
581	11438	8214
582	11455	8193
583	11473	8173
584	11492	8152
585	11513	8134
586	11535	8116
587	11554	8096
588	11574	8076
589	11592	8055
590	11610	8035
591	11631	8016
592	11652	7997
593	11679	7982
594	11699	7963
595	11718	7943
596	11736	7922
597	11757	7903
598	11772	7881
599	11789	7859
600	11806	7838
601	11825	7817
602	11844	7798
603	11864	7778
604	11883	7758
605	11901	7738
606	11917	7715
607	11934	7694
608	11954	7675
609	11973	7655
610	11990	7634
611	12010	7614
612	12030	7594
613	12047	7573
614	12065	7553
615	12082	7531
616	12100	7511
617	12116	7489
618	12134	7468
619	12150	7447
620	12167	7426
621	12183	7403
622	12200	7382
623	12217	7361
624	12233	7340
625	12251	7319
626	12270	7299
627	12287	7278
628	12306	7258
629	12326	7239
630	12346	7219
631	12365	7200
632	12385	7181
633	12402	7159
634	12419	7138
635	12436	7117
636	12452	7096
637	12468	7074
638	12488	7055
639	12507	7035
640	12526	7015
641	12557	7002
642	12575	6981
643	12592	6961
644	12610	6940
645	12629	6920
646	12646	6899
647	12664	6879
648	12684	6860
649	12707	6842
650	12728	6823
651	12747	6803
652	12765	6783
653	12783	6762
654	12801	6742
655	12821	6723
656	12840	6703
657	12858	6683
658	12876	6663
659	12894	6642
660	12911	6621
661	12930	6602
662	12947	6581
663	12964	6560
664	12982	6539
665	13003	6521
666	13022	6501
667	13043	6482
668	13060	6461
669	13078	6441
670	13096	6421
671	13115	6401
672	13133	6381
673	13154	6362
674	13172	6342
675	13190	6321
676	13208	6301
677	13226	6281
678	13244	6261
679	13264	6242
680	13284	6222
681	13303	6203
682	13321	6182
683	13339	6162
684	13359	6143
685	13377	6123
686	13393	6102
687	13412	6082
688	13431	6062
689	13450	6043
690	13469	6023
691	13492	6005
692	13510	5985
693	13534	5967
694	13554	5948
695	13573	5928
696	13598	5911
697	13619	5892
698	13638	5872
699	13654	5851
700	13673	5832
701	13690	5811
702	13710	5792
703	13729	5772
704	13751	5754
705	13769	5734
706	13787	5714
707	13806	5694
708	13824	5674
709	13842	5653
710	13864	5635
711	13884	5616
712	13902	5595
713	13920	5575
714	13940	5556
715	13959	5536
716	13977	5517
717	13995	5496
718	14014	5477
719	14032	5457
720	14053	5438
721	14071	5418
722	14090	5398
723	14110	5379
724	14131	5360
725	14148	5339
726	14169	5320
727	14188	5301
728	14206	5281
729	14231	5263
730	14248	5243
731	14267	5223
732	14286	5203
733	14304	5183
734	14322	5163
735	14341	5144
736	14364	5125
737	14384	5106
738	14401	5086
739	14418	5065
740	14435	5045
741	14454	5026
742	14473	5006
743	14496	4987
744	14514	4968
745	14532	4947
746	14548	4927
747	14567	4907
748	14586	4887
749	14606	4868
750	14626	4849
751	14644	4829
752	14662	4809
753	14679	4789
754	14697	4769
755	14718	4750
756	14738	4731
